class,av_flat,min_ceiling_h,parking_ratio,infr_access,lift_ratio
Комфорт,61.57575757575758,2.8,0.3181818181818182,8,15.4
Комфорт,37.314516129032256,2.7,0.2661290322580645,5,51.5375
Комфорт,34.05925925925926,2.7,0.2222222222222222,5,56.77941176470589
Комфорт,37.162962962962965,2.7,0.1703703703703703,5,56.109375
Комфорт,37.04814004376368,2.7,0.2472647702407002,4,64.06960784313725
Комфорт,34.62051282051282,2.7,0.1692307692307692,5,82.01470588235294
Типовой,53.77966101694916,2.74,1.9416666666666669,3,0.0
Типовой,59.41573033707865,2.74,1.7640449438202248,3,0.0
Комфорт,75.57142857142857,2.7,0.9142857142857144,8,26.409090909090907
Комфорт,56.42600896860986,2.7,0.1928251121076233,5,23.255714285714284
Типовой,53.43055555555556,2.7,0.4305555555555556,8,27.163636363636364
Типовой,47.142857142857146,2.5,0.6071428571428571,8,13.066666666666668
Комфорт,79.92490172955976,2.7,0.4754098360655737,8,23.01363636363636
Типовой,53.60416666666666,2.7,0.59375,8,24.145454545454545
Комфорт,68.54054054054055,2.7,0.4256756756756756,9,21.608
Типовой,45.62068965517241,2.7,0.0,6,0.0
Типовой,56.80128205128205,2.7,0.0705128205128205,10,16.209375
Типовой,52.94179894179894,2.7,0.0423280423280423,10,41.934375
Типовой,60.885714285714286,2.7,0.0761904761904762,10,22.3125
Типовой,47.35960591133005,2.7,0.0,4,38.29318181818182
Типовой,47.78737541528239,2.7,0.0,4,37.8530303030303
Типовой,54.94318181818182,2.7,0.0,4,33.2
Типовой,50.17021276595744,2.8,0.0,4,70.92727272727272
Типовой,54.876543209876544,2.7,0.0,4,30.55909090909091
Типовой,48.57608695652174,2.8,0.0,4,69.41818181818182
Типовой,55.41975308641975,2.8,0.0,4,61.11818181818182
Комфорт,56.4625,2.5500000000000007,0.5,1,30.18181818181818
Комфорт,51.15625,2.65,1.9419642857142856,8,47.10588235294118
Комфорт,39.53125,2.7,0.15625,7,48.29090909090909
Комфорт,44.10416666666666,2.7,0.1145833333333333,5,15.9
Комфорт,43.13333333333333,2.7,0.125,5,19.875
Комфорт,43.13333333333333,2.7,0.125,5,19.875
Комфорт,43.13333333333333,2.7,0.125,5,19.875
Комфорт,44.10416666666666,2.7,0.1145833333333333,5,15.9
Комфорт,44.10416666666666,2.7,0.1145833333333333,5,15.9
Комфорт,43.13333333333333,2.7,0.125,5,19.875
Комфорт,44.10416666666666,2.7,0.1145833333333333,5,15.9
Комфорт,58.0,2.7,0.6142857142857143,8,26.409090909090907
Комфорт,57.92857142857143,2.7,0.6285714285714286,8,26.409090909090907
Типовой,46.03448275862069,2.6,0.0,4,15.26938775510204
Типовой,50.66666666666666,2.5,0.3166666666666666,7,46.5
Типовой,50.66666666666666,2.5,0.2333333333333333,7,46.5
Типовой,51.16666666666666,2.5,0.95,7,46.5
Типовой,51.71666666666667,2.5,0.0666666666666666,7,46.5
Комфорт,47.36363636363637,2.9499999999999993,0.9545454545454546,1,24.2
Комфорт,47.36363636363637,2.9499999999999993,0.9545454545454546,1,24.2
Комфорт,51.18181818181818,2.9499999999999993,1.2727272727272727,1,0.0
Бизнес,52.6530612244898,2.7,0.5255102040816326,9,21.127272727272725
Типовой,75.92500494731114,2.73,0.3148148148148148,6,41.85
Комфорт,52.23974082073434,2.75,0.490280777537797,6,37.54509090909091
Типовой,50.657407407407405,2.73,0.1574074074074074,6,44.28
Типовой,75.92500494731114,2.73,0.320754716981132,6,41.075
Типовой,75.92500494731114,2.73,0.5151515151515151,6,23.1
Комфорт,40.3921568627451,2.82,0.3970588235294117,2,58.33684210526315
Комфорт,48.516129032258064,2.82,0.2811059907834101,3,62.054385964912285
Комфорт,45.42105263157895,2.82,0.4887218045112781,3,48.545
Комфорт,43.81132075471698,2.82,0.3396226415094339,3,58.035
Комфорт,43.49568965517241,2.82,0.3577586206896552,3,66.3438596491228
