id,Название,Класс энергетической эффективности,Ввод в эксплуатацию,Класс недвижимости,Материал стен,Тип отделки,Свободная планировка,Количество этажей,Количество квартир,"Жилая площадь, м²","Высота потолков, м",Велосипедные дорожки,Количество детских площадок,Количество спортивных площадок,Количество площадок для сбора мусора,Количество мест в паркинге,Гостевые места на придомовой территории,Гостевые места вне придомовой территории,Наличие пандуса,Наличие понижающих площадок,Количество инвалидных подъемников,Количество подъездов,Количество пассажирских лифтов,Количество грузовыхи грузопассажирских лифтов,Индекс доступности инфраструктуры,Количество спортивныхплощадок,Наличие понижающихплощадок,Доступность инфраструктуры,Транспортная доступность,Индекс транспортной доступности,Зеленые зоны,Качество воздуха,Индекс зеленой зоны,Индекс качества воздуха
55637,"ЖК ""Кипрея Квартиры""",A,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,5,40,3 004,"3 - 3,3",Нет,1,1,1,Нет,Нет,4,Нет,Есть,Нет,1,Нет,1,2,,,,,,,,,
52873,"г. Москва, пер Трёхпрудный, д. 9, строение 8",C,III кв. 2027,Типовой,Кирпич,Нет,Нет,1,Нет,Нет,Нет,Нет,1,,1,Нет,2,Нет,Есть,,Нет,-,Нет,Нет,,1,Нет,10,10,,3,,,
30292,"г. Казань, район Приволжский р-н, ул Карбышева",B,II кв. 2024,Типовой,Монолит-кирпич,1 вариант,Нет,26,384,30 374,"2,87 - 3,28",Нет,2,,1,485,Нет,Нет,Есть,,1,3,3,8,,1,Есть,9,6,,,,,
54612,ЖИЛОЙ КОМПЛЕКС БЕРЕГ ВОЛГИ,B,IV кв. 2025,Комфорт,Монолит-кирпич,Нет,Нет,18,207,8 219,"2,7 - 3,6",Нет,1,Нет,1,Нет,Нет,102,Есть,Есть,Нет,1,Нет,3,8,,,,,,,,,
53659,"ЖК ""Балтийская гавань""",A++,II кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,6,50,2 932,"2,7",Есть,1,1,1,Нет,18,Нет,Нет,Есть,Нет,2,2,Нет,6,,,,,,,,,
56437,"г. Гатчина, ул Куприна, д. 26, вл. дом",C,IV кв. 2024,Типовой,Панель,1 вариант,Нет,5,73,3 244,"2,69",Нет,1,1,1,Нет,Нет,Нет,Есть,Есть,Нет,3,Нет,Нет,3,,,,,,,,,
45219,"ЖК ""Новое Пушкино""",B,I кв. 2025,Комфорт,Другое,Нет,Нет,15,426,19 288,"2,74 - 2,85",Нет,4,,2,Нет,64,251,Нет,,Нет,5,5,15,,6,Есть,6,,,,,,
49524,"г. Саратов, ул им Николая Нишнева",B,II кв. 2024,Типовой,Монолит-кирпич,1 вариант,Нет,12,147,8 472,"2,5",Нет,2,,1,Нет,26,32,Есть,,Нет,3,3,Нет,,1,Есть,6,,,,,,
53955,"г. Южно-Сахалинск, район 140-летия города Южно-Сахалинска, улица, д. 16",A++,IV кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Есть,5,77,4 891,"3,04",Нет,5,2,1,Нет,Нет,34,Есть,Есть,5,5,Нет,Нет,1,,,,,,,,,
55541,МОРЕ ТУТ,B,IV кв. 2026,Бизнес,Монолит-кирпич,1 вариант,Нет,6,Нет,Нет,Нет,Нет,2,4,1,Нет,Нет,108,Есть,Есть,Нет,-,2,Нет,1,,,,,,,,,
54325,"ЖК ""Столица""",B,III кв. 2025,Комфорт,Другое,1 вариант,Нет,21,954,25 179,"2,8",Нет,1,1,2,Нет,164,159,Есть,Есть,Нет,3,3,3,8,,,,,,,,,
25609,"Жилой комплекс «Любимый», ЖК «Любимый»",B,I кв. 2025,Типовой,Кирпич,1 вариант,Нет,16,96,4 205,"2,7",Нет,1,,1,Нет,Нет,Нет,Есть,,Нет,1,1,1,,1,Есть,7,5,,,,,
50989,"г. Бердск, ул Ленина, д. 114",B,IV кв. 2024,Типовой,Монолит-кирпич,1 вариант,Нет,17,317,13 518,"2,72",Нет,2,,4,Нет,58,Нет,Есть,,Нет,3,6,Нет,,1,Есть,9,,,,,,
44195,"Жилой комплекс ""Лугометрия""",A++,IV кв. 2024,Комфорт,Блоки,1 вариант,Нет,19,469,27 205,"2,68",Нет,3,,1,Нет,39,145,Нет,,Нет,5,8,8,,1,Есть,7,,,,,,
46665,"""5 БАЛЛОВ"" Парк ЭКО кварталов",B,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,6,44,2 094,"2,7",Нет,1,,1,Нет,18,Нет,Нет,,Нет,1,1,Нет,,1,Есть,2,,,,,,
48954,Дом Событие,B,I кв. 2025,Комфорт,Кирпич,1 вариант,Нет,11,119,4 592,"2,55",Нет,1,1,1,Нет,33,50,Нет,Есть,Нет,1,2,Нет,7,,,,,,,,,
47286,Левобережье Литер 10,C,I кв. 2027,Комфорт,Монолит-кирпич,1 вариант,Нет,25,487,25 047,"2,74",Есть,1,1,1,Нет,58,77,Есть,Есть,Нет,3,Нет,6,2,,,,,,,,,
