id,name,energy_efficiency,due_date,class,wall_material,n_finish_types,layout_variation,n_floors,n_flats,life_space,av_flat,min_ceiling_height,max_ceiling_height,bike_paths,n_playgrounds,n_sportsgrounds,n_p_s_grounds,n_garbage_sites,n_parking_places,ramp,lowering_platforms,n_wheelchair_lifts,low_mobility_facilities,n_entrances,n_p_lifts,n_f_lifts,n_lifts,lift_ratio,infrastr_access,transport_access,green_areas,air_quality
50100,"г. Краснодар, литера 23",B,2025Q4,Типовой,Панель,0,False,3,39,1566.0,40.15384615384615,2.7,2.7,False,2,4,6,1,15,True,True,0,0.5,2,0,0,0,0,2,,,
51016,Аквилон REKA 6 корпус,A+,2025Q3,Комфорт,Монолит-кирпич,0,False,9,94,3284.0,34.93617021276596,2.7,2.7,False,1,1,2,1,22,True,True,0,0.5,1,0,1,1,65.8,8,,,
49722,Город оружейников.Жилой дом 17,B,2025Q1,Комфорт,Монолит-кирпич,1,False,11,287,11970.0,41.707317073170735,2.6,2.6,False,5,10,15,3,105,True,True,0,0.5,3,3,0,3,72.18484848484849,8,,,
40432,"д. Дерябиха, строение 5, блок-секция 12",B,2028Q2,Комфорт,Кирпич,1,False,8,39,1963.0,50.333333333333336,2.63,2.63,False,1,1,2,1,17,True,True,1,0.5,1,1,0,1,25.8375,5,,,
47810,Коллекционный дом 1919,A,2025Q2,Элитный,Другое,1,False,12,68,3349.0,49.25,3.02,5.68,False,1,1,2,1,30,False,True,0,0.5,1,2,2,4,13.174999999999999,8,9.0,4.0,
41531,"г. Вязьма, ул Ленина, блок-секция 2",B,2026Q3,Типовой,Кирпич,1,False,9,104,5710.0,54.90384615384615,2.7,2.7,False,2,1,3,1,54,True,True,3,0.5,3,3,0,3,24.266666666666666,3,,,
48463,"г. Тамбов, ул З.Космодемьянской, д. 3А",A,2025Q2,Типовой,Кирпич,1,False,10,107,6621.0,61.87850467289719,2.7,2.7,False,1,0,1,1,82,False,True,0,0.5,3,3,0,3,26.036666666666665,8,,,
49694,"г. Якутск, ул Федора Попова, д. 4/1",B,2025Q3,Комфорт,Монолит-кирпич,1,True,8,46,2729.0,59.32608695652174,3.0,3.0,False,1,0,1,1,19,False,True,1,0.5,1,1,0,1,30.475,9,,,
45349,ЖК MYPRIORITY Dubrovka,C,2025Q2,Бизнес,Другое,1,False,32,932,47110.0,50.547210300429185,2.85,2.85,False,2,1,3,0,211,False,False,0,0.0,6,15,6,21,40.63630952380952,9,9.0,2.0,
48094,Чехов Квартал Премьерный дом,A,2025Q3,Комфорт,Монолит-кирпич,0,True,18,141,8107.0,57.49645390070922,2.69,5.64,False,1,1,2,1,25,True,True,0,0.5,1,2,0,2,59.925,9,,,
50289,"ЖК Кислород ""Экоквартал Кислород""",C,2025Q4,Комфорт,Монолит-кирпич,1,False,23,284,11816.0,41.605633802816904,2.57,3.02,True,1,1,2,1,97,True,True,0,0.5,2,5,0,5,50.132173913043474,7,,,
46318,"Жилой комплекс ""Gorozont""(Горизонт)",B,2024Q3,Комфорт,Монолит-кирпич,1,False,16,505,22823.0,45.19405940594059,2.72,2.87,False,1,1,2,2,38,True,True,0,0.5,5,10,0,10,41.978125,8,1.0,,
53536,"ЖК ""Белые Росы""",A,2025Q2,Комфорт,Кирпич,1,False,5,125,7739.0,61.912,2.68,2.83,True,2,1,3,1,150,False,True,0,0.5,8,0,0,0,0,4,,,
